time_step,pimple_iter,iter_time_s,reaction_time_s,other_time_s,reaction_percent,before_time,after_time,end_time
0.0707988,1,8.309999999999945,8.25,0.05999999999994543,99.27797833935084,1017.51,1025.76,1025.82
0.0712346,1,8.300000000000182,8.220000000000027,0.08000000000015461,99.03614457831141,1025.83,1034.05,1034.13
0.0716705,1,8.459999999999809,8.399999999999864,0.05999999999994543,99.2907801418446,1034.13,1042.53,1042.59
0.0721063,1,8.519999999999982,8.460000000000036,0.05999999999994543,99.29577464788795,1042.6,1051.06,1051.12
0.0725421,1,8.779999999999973,8.7199999999998,0.060000000000172804,99.31662870159256,1051.13,1059.85,1059.91
0.0729712,1,8.349999999999909,8.279999999999973,0.06999999999993634,99.16167664670735,1059.91,1068.19,1068.26
0.0734002,1,8.8599999999999,8.789999999999964,0.06999999999993634,99.20993227991042,1068.26,1077.05,1077.12
0.0738292,1,8.360000000000127,8.310000000000173,0.049999999999954525,99.40191387559864,1077.12,1085.43,1085.48
0.0742583,1,8.420000000000073,8.349999999999909,0.07000000000016371,99.16864608075817,1085.49,1093.84,1093.91
0.0746802,1,8.259999999999991,8.199999999999818,0.060000000000172804,99.27360774818193,1093.91,1102.11,1102.17
0.0751022,1,8.11999999999989,8.059999999999945,0.05999999999994543,99.26108374384303,1102.17,1110.23,1110.29
0.0755242,1,8.360000000000127,8.289999999999964,0.07000000000016371,99.16267942583538,1110.3,1118.59,1118.66
0.0759462,1,8.210000000000036,8.149999999999864,0.060000000000172804,99.26918392204418,1118.67,1126.82,1126.88
0.0763682,1,8.569999999999936,8.509999999999991,0.05999999999994543,99.29988331388628,1126.88,1135.39,1135.45
0.0767828,1,8.419999999999845,8.3599999999999,0.05999999999994543,99.28741092636642,1135.45,1143.81,1143.87
0.0771974,1,8.159999999999854,8.089999999999918,0.06999999999993634,99.14215686274586,1143.88,1151.97,1152.04
0.077612,1,8.620000000000118,8.559999999999945,0.060000000000172804,99.30394431554325,1152.04,1160.6,1160.66
0.0780266,1,8.299999999999955,8.240000000000009,0.05999999999994543,99.27710843373559,1160.66,1168.9,1168.96
0.0784335,1,8.159999999999854,8.099999999999909,0.05999999999994543,99.2647058823536,1168.96,1177.06,1177.12
0.0788404,1,8.389999999999873,8.329999999999927,0.05999999999994543,99.28486293206262,1177.13,1185.46,1185.52
0.0792473,1,8.319999999999936,8.240000000000009,0.07999999999992724,99.03846153846241,1185.53,1193.77,1193.85
0.0796543,1,8.560000000000173,8.490000000000009,0.07000000000016371,99.18224299065231,1193.86,1202.35,1202.42
0.0800612,1,8.259999999999991,8.189999999999827,0.07000000000016371,99.15254237287937,1202.43,1210.62,1210.69
0.0804681,1,8.509999999999991,8.440000000000055,0.06999999999993634,99.17743830787383,1210.7,1219.14,1219.21
0.0808667,1,8.200000000000045,8.139999999999873,0.060000000000172804,99.26829268292472,1219.22,1227.36,1227.42
0.0812653,1,8.139999999999873,8.059999999999945,0.07999999999992724,99.0171990171999,1227.43,1235.49,1235.57
0.0816639,1,8.230000000000018,8.170000000000073,0.05999999999994543,99.27095990279533,1235.58,1243.75,1243.81
0.0820625,1,8.0,7.9500000000000455,0.049999999999954525,99.37500000000057,1243.82,1251.77,1251.82
0.0824611,1,8.509999999999991,8.430000000000064,0.07999999999992724,99.05992949471296,1251.83,1260.26,1260.34
0.0828598,1,8.450000000000045,8.3900000000001,0.05999999999994543,99.28994082840302,1260.35,1268.74,1268.8
0.0832493,1,8.420000000000073,8.340000000000146,0.07999999999992724,99.04988123515527,1268.8,1277.14,1277.22
0.0836389,1,8.529999999999973,8.460000000000036,0.06999999999993634,99.17936694021176,1277.23,1285.69,1285.76
0.0840284,1,8.460000000000036,8.3900000000001,0.06999999999993634,99.17257683215206,1285.77,1294.16,1294.23
0.084418,1,8.450000000000045,8.389999999999873,0.060000000000172804,99.28994082840032,1294.23,1302.62,1302.68
0.0848075,1,8.349999999999909,8.289999999999964,0.05999999999994543,99.28143712574915,1302.69,1310.98,1311.04
0.0851971,1,8.569999999999936,8.509999999999991,0.05999999999994543,99.29988331388628,1311.05,1319.56,1319.62
0.0855766,1,8.61999999999989,8.549999999999955,0.06999999999993634,99.18793503480352,1319.63,1328.18,1328.25
0.0859562,1,8.460000000000036,8.400000000000091,0.05999999999994543,99.29078014184462,1328.26,1336.66,1336.72
0.0863357,1,8.6099999999999,8.529999999999973,0.07999999999992724,99.07084785133648,1336.73,1345.26,1345.34
0.0867153,1,8.470000000000027,8.38000000000011,0.08999999999991815,98.93742621015446,1345.36,1353.74,1353.83
0.0870949,1,8.759999999999991,8.670000000000073,0.08999999999991815,98.97260273972695,1353.84,1362.51,1362.6
0.0874744,1,8.519999999999982,8.450000000000045,0.06999999999993634,99.1784037558693,1362.6,1371.05,1371.12
0.087854,1,8.75,8.689999999999827,0.060000000000172804,99.31428571428373,1371.13,1379.82,1379.88
0.0882336,1,8.449999999999818,8.36999999999989,0.07999999999992724,99.05325443787066,1379.88,1388.25,1388.33
0.0886013,1,8.25,8.180000000000064,0.06999999999993634,99.15151515151592,1388.33,1396.51,1396.58
0.088969,1,7.8900000000001,7.8400000000001455,0.049999999999954525,99.36628643853037,1396.59,1404.43,1404.48
0.0893367,1,7.8599999999999,7.7999999999999545,0.05999999999994543,99.23664122137474,1404.49,1412.29,1412.35
0.0897044,1,8.100000000000136,8.040000000000191,0.05999999999994543,99.25925925925995,1412.36,1420.4,1420.46
0.0900721,1,7.899999999999864,7.829999999999927,0.06999999999993634,99.1139240506337,1420.47,1428.3,1428.37
0.0904398,1,8.25,8.180000000000064,0.06999999999993634,99.15151515151592,1428.37,1436.55,1436.62
